amount,payment_date,return_date,rental_date,first_name,last_name,address,title,rating,length,language,string_agg
4.99,2020-02-17 07:51:42.996577+00,2005-06-22 08:40:16+00,2005-06-17 08:23:16+00,WILLIAM,SATTERFIELD,687 Alessandria Parkway,FALCON VOLUME,PG-13,102,English             ,"EDMANSFIELD,MARYTANDY,KENNETHPALTROW,SALMANOLTE"
1.99,2020-02-17 07:52:25.996577+00,2005-06-25 12:20:59+00,2005-06-17 08:23:59+00,KEITH,RICO,482 Kowloon and New Kowloon Manor,NOTORIOUS REUNION,NC-17,128,English             ,"KIMALLEN,JAYNENOLTE"
2.99,2020-02-17 07:54:15.996577+00,2005-06-24 08:59:49+00,2005-06-17 08:25:49+00,KARL,SEAL,1427 Tabuk Place,MULHOLLAND BEAST,PG,157,English             ,"JUDECRUISE,PENELOPEGUINESS,KIRKJOVOVICH,BETTENICHOLSON,WALTERTORN,EWANGOODING"
2.99,2020-02-17 07:58:31.996577+00,2005-06-21 11:10:05+00,2005-06-17 08:30:05+00,CARMEN,OWENS,1378 Alvorada Avenue,HOPE TOOTSIE,NC-17,139,English             ,"RENEETRACY,GREGCHAPLIN,JANEJACKMAN,JULIAFAWCETT"
2.99,2020-02-17 08:00:36.996577+00,2005-06-23 02:50:10+00,2005-06-17 08:32:10+00,TIM,CARY,1257 Guadalajara Street,MALKOVICH PET,G,159,English             ,"MICHAELBOLGER,LAURENCEBULLOCK,FAYWINSLET,GRACEMOSTEL,MATTHEWJOHANSSON,JADARYDER,REESEWEST"
2.99,2020-02-17 08:06:34.996577+00,2005-06-23 06:23:08+00,2005-06-17 08:38:08+00,VIVIAN,RUIZ,741 Ambattur Manor,SHREK LICENSE,PG-13,154,English             ,"RIVERDEAN,FRANCESDAY-LEWIS,EMILYDEE"
2.99,2020-02-17 08:06:48.996577+00,2005-06-23 13:19:22+00,2005-06-17 08:38:22+00,TOMMY,COLLAZO,76 Kermanshah Manor,LUCKY FLYING,PG-13,97,English             ,"NICKWAHLBERG,ANGELAWITHERSPOON,JADARYDER,EWANGOODING,JIMMOSTEL,KENNETHTORN,JAMESPITT,PARKERGOLDBERG,JULIAMCQUEEN,KARLBERRY"
2.99,2020-02-17 08:11:00.996577+00,2005-06-20 08:13:34+00,2005-06-17 08:42:34+00,BILLIE,HORTON,457 Tongliao Loop,GANGS PRIDE,PG-13,185,English             ,"KENNETHHOFFMAN,FAYWOOD,ELVISMARX,FRANCESDAY-LEWIS"
2.99,2020-02-17 08:13:56.996577+00,2005-06-20 09:52:30+00,2005-06-17 08:45:30+00,JANET,PHILLIPS,1718 Valencia Street,SAMURAI LION,G,110,English             ,"GREGCHAPLIN,ANGELINAASTAIRE"
6.99,2020-02-17 08:16:31.996577+00,2005-06-23 13:43:05+00,2005-06-17 08:48:05+00,JEFFREY,SPEAR,1860 Taguig Loop,PANKY SUBMARINE,G,93,English             ,"RIPWINSLET,MICHELLEMCCONAUGHEY,SPENCERPECK,GROUCHODUNST,RUSSELLBACALL,LIZABERGMAN,SALMANOLTE,JULIAZELLWEGER"
2.99,2020-02-17 08:32:00.996577+00,2005-06-20 12:14:34+00,2005-06-17 09:03:34+00,KARL,SEAL,1427 Tabuk Place,PRINCESS GIANT,NC-17,71,English             ,"ADAMHOPPER,MERYLGIBSON,HUMPHREYWILLIS,EDGUINESS,CHRISTIANAKROYD"
4.99,2020-02-17 08:40:41.996577+00,2005-06-20 12:56:15+00,2005-06-17 09:12:15+00,CASEY,MENA,539 Hami Way,DOORS PRESIDENT,NC-17,49,English             ,"NATALIEHOPKINS,KARLBERRY,REESEWEST,KIMALLEN,EDMANSFIELD,GENEHOPKINS,SYLVESTERDERN,CHRISTIANAKROYD,LUCILLETRACY"
4.99,2020-02-17 08:50:39.996577+00,2005-06-24 04:04:13+00,2005-06-17 09:22:13+00,BRUCE,SCHWARZ,1565 Tangail Manor,HOME PITY,R,185,English             ,"NICKDEGENERES,CHRISTIANAKROYD,JOHNSUVARI,KIRSTENPALTROW,BURTDUKAKIS,AUDREYBAILEY"
2.99,2020-02-17 08:53:54.996577+00,2005-06-23 07:18:28+00,2005-06-17 09:25:28+00,RUSSELL,BRINSON,1642 Charlotte Amalie Drive,RUGRATS SHAKESPEARE,PG-13,109,English             ,"MORGANHOPKINS,DARYLWAHLBERG,GARYPENN,JUDYDEAN,CUBABIRCH,KIMALLEN"
0.99,2020-02-17 09:00:03.996577+00,2005-06-22 10:17:37+00,2005-06-17 09:31:37+00,NORMAN,CURRIER,1445 Carmen Parkway,ALTER VICTORY,PG-13,57,English             ,"REESEKILMER,ANGELAWITHERSPOON,OPRAHKILMER,JADARYDER"
2.99,2020-02-17 09:03:25.996577+00,2005-06-24 03:57:59+00,2005-06-17 09:34:59+00,DARREN,WINDHAM,379 Lublin Parkway,OLEANDER CLUE,PG,161,English             ,"OPRAHKILMER,WARRENJACKMAN,JIMMOSTEL,GREGCHAPLIN,SANDRAKILMER,ZEROCAGE,RUSSELLCLOSE,PENELOPEPINKETT,SEANWILLIAMS,EWANGOODING"
2.99,2020-02-17 09:09:02.996577+00,2005-06-23 13:23:36+00,2005-06-17 09:40:36+00,ZACHARY,HITE,98 Pyongyang Boulevard,AMISTAD MIDSUMMER,G,85,English             ,"CARYMCCONAUGHEY,SCARLETTBENING,SALMANOLTE,DARYLWAHLBERG"
8.99,2020-02-17 09:11:00.996577+00,2005-06-25 10:47:34+00,2005-06-17 09:42:34+00,DEANNA,BYRD,862 Xintai Lane,PELICAN COMFORTS,PG,48,English             ,"GROUCHOSINATRA,BOBFAWCETT,WHOOPIHURT,RUSSELLTEMPLE,JULIABARRYMORE"
2.99,2020-02-17 09:15:50.996577+00,2005-06-19 04:12:24+00,2005-06-17 09:47:24+00,VIRGINIA,GREEN,391 Callao Drive,CHARIOTS CONSPIRACY,R,71,English             ,"MICHAELBOLGER,GINADEGENERES"
4.99,2020-02-17 09:17:10.996577+00,2005-06-24 07:11:44+00,2005-06-17 09:48:44+00,JOHNNIE,CHISHOLM,1501 Pangkal Pinang Avenue,FLATLINERS KILLER,G,100,English             ,"NICKSTALLONE,ROCKDUKAKIS,SCARLETTBENING,MENAHOPPER,MORGANHOPKINS,RUSSELLBACALL,JIMMOSTEL,KENNETHTORN,GARYPENN"
3.99,2020-02-17 09:17:49.996577+00,2005-06-25 09:48:23+00,2005-06-17 09:49:23+00,DAWN,SULLIVAN,454 Nakhon Sawan Boulevard,SUNDANCE INVASION,NC-17,92,English             ,"DEBBIEAKROYD,KENNETHPALTROW,CHARLIZEDENCH,SIDNEYCROWE,RENEETRACY,FAYWINSLET,LAURENCEBULLOCK"
2.99,2020-02-17 09:27:19.996577+00,2005-06-19 07:42:53+00,2005-06-17 09:58:53+00,LILLIE,KIM,1736 Cavite Place,CHARIOTS CONSPIRACY,R,71,English             ,"GINADEGENERES,MICHAELBOLGER"
5.99,2020-02-17 09:27:50.996577+00,2005-06-23 06:30:24+00,2005-06-17 09:59:24+00,CLAUDIA,FULLER,346 Skikda Parkway,ARIZONA BANG,PG,121,English             ,"KARLBERRY,RAYJOHANSSON,RUSSELLBACALL,GRETAKEITEL"
5.99,2020-02-17 09:35:32.996577+00,2005-06-25 07:32:06+00,2005-06-17 10:07:06+00,ARTHUR,SIMPKINS,1157 Nyeri Loop,JASON TRAP,NC-17,130,English             ,"NATALIEHOPKINS,ANGELAHUDSON,BENHARRIS,MINNIEKILMER,GOLDIEBRODY"
4.99,2020-02-17 09:39:40.996577+00,2005-06-26 15:37:14+00,2005-06-17 10:11:14+00,DOROTHY,TAYLOR,1531 Sal Drive,HAWK CHILL,PG-13,47,English             ,"REESEKILMER,PARKERGOLDBERG,ANNECRONYN,CARMENHUNT,CAMERONZELLWEGER,CATEMCQUEEN,IANTANDY"
6.99,2020-02-17 09:46:11.996577+00,2005-06-26 08:42:45+00,2005-06-17 10:17:45+00,VALERIE,BLACK,782 Mosul Street,PHILADELPHIA WIFE,PG-13,137,English             ,"MARYTANDY,SEANGUINESS"
2.99,2020-02-17 09:48:09.996577+00,2005-06-19 13:18:43+00,2005-06-17 10:19:43+00,NORMAN,CURRIER,1445 Carmen Parkway,COWBOY DOOM,PG,146,English             ,"GREGORYGOODING,WHOOPIHURT,JULIANNEDENCH,MILLAKEITEL,EDCHASE"
3.99,2020-02-17 09:53:23.996577+00,2005-06-26 08:48:57+00,2005-06-17 10:24:57+00,WALLACE,SLONE,1342 Sharja Way,VOYAGE LEGALLY,PG-13,78,English             ,"JAYNENEESON,ANGELAHUDSON,MARYTANDY,MEGHAWKE,CARMENHUNT"
1.99,2020-02-17 09:58:34.996577+00,2005-06-23 07:36:08+00,2005-06-17 10:30:08+00,CARMEN,OWENS,1378 Alvorada Avenue,SLUMS DUCK,PG,147,English             ,"RUSSELLTEMPLE,WALTERTORN,REESEKILMER"
2.99,2020-02-17 10:00:56.996577+00,2005-06-22 12:37:30+00,2005-06-17 10:32:30+00,CATHY,SPENCER,1287 Xiangfan Boulevard,BILL OTHERS,PG,93,English             ,"MINNIEZELLWEGER,DUSTINTAUTOU,ALGARLAND,LAURENCEBULLOCK,RUSSELLTEMPLE,CHRISBRIDGES"
2.99,2020-02-17 10:03:35.996577+00,2005-06-21 13:52:09+00,2005-06-17 10:35:09+00,CHRISTY,VARGAS,1158 Mandi Bahauddin Parkway,IDENTITY LOVER,PG-13,119,English             ,"ALECWAYNE,SANDRAKILMER,SCARLETTBENING,LIZABERGMAN"
3.99,2020-02-17 10:08:24.996577+00,2005-06-24 14:41:58+00,2005-06-17 10:39:58+00,FRANKLIN,TROUTMAN,1778 Gijn Manor,LOATHING LEGALLY,R,140,English             ,"MORGANHOPKINS,AUDREYOLIVIER,SUSANDAVIS,GARYPHOENIX,GRETAKEITEL"
4.99,2020-02-17 10:09:01.996577+00,2005-06-19 07:30:35+00,2005-06-17 10:40:35+00,ANDRE,RAPP,568 Dhule (Dhulia) Loop,GAMES BOWFINGER,PG-13,119,English             ,"JULIAMCQUEEN,MARYKEITEL,ANGELAHUDSON,RIPWINSLET,BURTPOSEY,MATTHEWLEIGH,FRANCESTOMEI,HUMPHREYWILLIS"
4.99,2020-02-17 10:12:04.996577+00,2005-06-24 07:05:38+00,2005-06-17 10:43:38+00,DOLORES,WAGNER,316 Uruapan Street,EXPENDABLE STALLION,PG,97,English             ,"FAYWINSLET,FRANCESDAY-LEWIS,DUSTINTAUTOU,JAYNENEESON"
4.99,2020-02-17 10:13:20.996577+00,2005-06-19 09:53:54+00,2005-06-17 10:44:54+00,CLAUDIA,FULLER,346 Skikda Parkway,TRAP GUYS,G,110,English             ,"ALBERTNOLTE,WOODYHOFFMAN,VIVIENBERGEN,BELAWALKEN,WILLIAMHACKMAN,HUMPHREYWILLIS,KENNETHPESCI"
2.99,2020-02-17 10:15:29.996577+00,2005-06-19 12:47:03+00,2005-06-17 10:47:03+00,JESSIE,BANKS,1229 Valencia Parkway,DEER VIRGINIAN,NC-17,106,English             ,"LIZABERGMAN,GINADEGENERES,IANTANDY"
0.99,2020-02-17 10:15:43.996577+00,2005-06-21 06:19:17+00,2005-06-17 10:47:17+00,SIDNEY,BURLESON,1405 Hagonoy Avenue,DRACULA CRYSTAL,G,176,English             ,"NICKWAHLBERG,REESEWEST,IANTANDY,MORGANWILLIAMS,DARYLCRAWFORD,MORGANHOPKINS,GREGCHAPLIN,BENWILLIS,SEANWILLIAMS,MICHELLEMCCONAUGHEY,CAMERONWRAY,CARMENHUNT,JODIEDEGENERES"
5.99,2020-02-17 10:16:31.996577+00,2005-06-25 12:16:05+00,2005-06-17 10:48:05+00,IVAN,CROMWELL,1351 Sousse Lane,IGBY MAKER,NC-17,160,English             ,"MICHAELBENING,DANSTREEP,SEANGUINESS,BETTENICHOLSON,GEOFFREYHESTON"
2.99,2020-02-17 10:16:57.996577+00,2005-06-18 08:34:31+00,2005-06-17 10:48:31+00,SHERRY,MARSHALL,1987 Coacalco de Berriozbal Loop,HELLFIGHTERS SIERRA,PG,75,English             ,"JAMESPITT,MICHELLEMCCONAUGHEY,CUBAOLIVIER,SANDRAKILMER,HARVEYHOPE,EDMANSFIELD,GRACEMOSTEL,CAMERONZELLWEGER,PENELOPEMONROE,ALBERTNOLTE,SPENCERDEPP,JIMMOSTEL"
5.99,2020-02-17 10:22:41.996577+00,2005-06-21 04:55:15+00,2005-06-17 10:54:15+00,FRANK,WAGGONER,1816 Bydgoszcz Loop,NIGHTMARE CHILL,PG,149,English             ,"GENEHOPKINS,WALTERTORN"
3.99,2020-02-17 10:24:35.996577+00,2005-06-24 05:47:09+00,2005-06-17 10:56:09+00,JUAN,FRALEY,469 Nakhon Sawan Street,CLUB GRAFFITI,PG-13,65,English             ,"TOMMCKELLEN,LISAMONROE,MORGANWILLIAMS,DEBBIEAKROYD"
5.99,2020-02-17 10:25:41.996577+00,2005-06-24 16:18:15+00,2005-06-17 10:57:15+00,SARA,PERRY,125 Citt del Vaticano Boulevard,SHAWSHANK BUBBLE,PG,80,English             ,"CHRISTOPHERWEST,IANTANDY,JULIAFAWCETT,ANGELAWITHERSPOON,VALBOLGER,SYLVESTERDERN,KENNETHPESCI,BOBFAWCETT,RENEETRACY,SCARLETTBENING"
3.99,2020-02-17 10:31:27.996577+00,2005-06-24 09:04:01+00,2005-06-17 11:03:01+00,LORRAINE,STEPHENS,154 Tallahassee Loop,REAP UNFAITHFUL,PG-13,136,English             ,"KARLBERRY,BURTDUKAKIS,ANNECRONYN,CHRISTIANGABLE"
5.99,2020-02-17 10:31:54.996577+00,2005-06-25 15:00:28+00,2005-06-17 11:03:28+00,JERRY,JORDON,124 al-Manama Way,PACIFIC AMISTAD,G,144,English             ,"JOESWANK,CATEMCQUEEN,JOHNNYLOLLOBRIGIDA,DUSTINTAUTOU,HUMPHREYGARLAND,ANGELINAASTAIRE,EDGUINESS,SUSANDAVIS"
4.99,2020-02-17 10:44:55.996577+00,2005-06-18 13:40:29+00,2005-06-17 11:16:29+00,ROBERTO,VU,1297 Alvorada Parkway,SPICE SORORITY,NC-17,141,English             ,"TOMMCKELLEN,FAYKILMER,KIRKJOVOVICH,EDCHASE,SCARLETTDAMON,MORGANMCDORMAND,MICHAELBENING,JONCHASE,WOODYHOFFMAN,GREGORYGOODING,GENEMCKELLEN"
2.99,2020-02-17 10:47:02.996577+00,2005-06-20 11:13:36+00,2005-06-17 11:18:36+00,JENNY,CASTRO,1405 Chisinau Place,UPTOWN YOUNG,PG,84,English             ,"TIMHACKMAN,ZEROCAGE,ALECWAYNE,HENRYBERRY,MARYTANDY,SUSANDAVIS,ALANDREYFUSS"
0.99,2020-02-17 11:01:56.996577+00,2005-06-19 09:08:30+00,2005-06-17 11:33:30+00,ELMER,NOE,1768 Udine Loop,FIGHT JAWBREAKER,R,91,English             ,"ALBERTJOHANSSON,MERYLGIBSON,NICKWAHLBERG"
3.99,2020-02-17 11:04:24.996577+00,2005-06-26 12:16:58+00,2005-06-17 11:35:58+00,RUSSELL,BRINSON,1642 Charlotte Amalie Drive,ENDING CROWDS,NC-17,85,English             ,"CHRISTOPHERWEST,SIDNEYCROWE,MARYTANDY,BURTDUKAKIS,ZEROCAGE"
4.99,2020-02-17 11:07:10.996577+00,2005-06-23 16:38:44+00,2005-06-17 11:38:44+00,CLAUDE,HERZOG,486 Ondo Parkway,KNOCK WARLOCK,PG-13,71,English             ,"REESEKILMER,WOODYHOFFMAN,CUBAOLIVIER,JUDECRUISE,TOMMIRANDA,AUDREYOLIVIER"
0.99,2020-02-17 11:08:16.996577+00,2005-06-19 13:59:50+00,2005-06-17 11:39:50+00,ERNEST,STEPP,500 Lincoln Parkway,HIGHBALL POTTER,R,110,English             ,"CHRISTOPHERBERRY,MENAHOPPER,GRETAKEITEL,KARLBERRY,REESEKILMER"
3.99,2020-02-17 11:09:44.996577+00,2005-06-23 16:17:18+00,2005-06-17 11:41:18+00,RONALD,WEINER,1145 Vilnius Manor,NONE SPIKING,NC-17,83,English             ,"RENEEBALL,WOODYHOFFMAN,KIMALLEN,OLYMPIAPFEIFFER,MATTHEWCARREY,SUSANDAVIS"
8.99,2020-02-17 11:13:05.996577+00,2005-06-25 11:32:39+00,2005-06-17 11:44:39+00,KURT,EMMONS,1421 Quilmes Lane,PELICAN COMFORTS,PG,48,English             ,"WHOOPIHURT,JULIABARRYMORE,BOBFAWCETT,RUSSELLTEMPLE,GROUCHOSINATRA"
4.99,2020-02-17 11:21:24.996577+00,2005-06-23 10:07:58+00,2005-06-17 11:52:58+00,ERICA,MATTHEWS,1294 Firozabad Drive,CONEHEADS SMOOCHY,NC-17,112,English             ,"JOHNNYLOLLOBRIGIDA,RICHARDPENN,WARRENJACKMAN,GINADEGENERES,JULIABARRYMORE,AUDREYOLIVIER,ALECWAYNE,JULIAMCQUEEN,DANTORN"
0.99,2020-02-17 11:29:17.996577+00,2005-06-22 06:03:51+00,2005-06-17 12:00:51+00,FRANK,WAGGONER,1816 Bydgoszcz Loop,MASKED BUBBLE,PG-13,151,English             ,"ADAMHOPPER,AUDREYBAILEY,GARYPENN"
4.99,2020-02-17 11:32:26.996577+00,2005-06-18 17:45:00+00,2005-06-17 12:04:00+00,CLIFFORD,BOWENS,207 Cuernavaca Loop,EAGLES PANKY,NC-17,140,English             ,"FREDCOSTNER,FRANCESDAY-LEWIS,MAEHOFFMAN,CHRISDEPP,JUDECRUISE,SCARLETTDAMON"
4.99,2020-02-17 11:34:04.996577+00,2005-06-21 16:19:38+00,2005-06-17 12:05:38+00,RICK,MATTOX,775 ostka Drive,SLEEPLESS MONSOON,G,64,English             ,"DARYLCRAWFORD,JULIAMCQUEEN,GRACEMOSTEL,HENRYBERRY"
7.99,2020-02-17 11:35:22.996577+00,2005-06-23 12:46:56+00,2005-06-17 12:06:56+00,JENNIE,TERRY,682 Halisahar Place,VELVET TERMINATOR,R,173,English             ,"ANGELAHUDSON,SEANWILLIAMS,ZEROCAGE,CARYMCCONAUGHEY,CUBAALLEN,DARYLCRAWFORD,MINNIEKILMER,MERYLALLEN,JOHNNYCAGE"
7.99,2020-02-17 11:36:34.996577+00,2005-06-23 09:54:08+00,2005-06-17 12:08:08+00,GAIL,KNIGHT,185 Novi Sad Place,WIFE TURN,NC-17,183,English             ,"GRETAMALDEN,JULIABARRYMORE,WOODYHOFFMAN,MICHAELBOLGER,CAMERONZELLWEGER,GINADEGENERES"
4.99,2020-02-17 11:39:25.996577+00,2005-06-19 17:15:59+00,2005-06-17 12:10:59+00,CECIL,VINES,548 Uruapan Street,DAISY MENAGERIE,G,84,English             ,"JODIEDEGENERES,MILLAKEITEL,MINNIEKILMER,CARMENHUNT,JOHNNYLOLLOBRIGIDA,UMAWOOD,GOLDIEBRODY"
0.99,2020-02-17 11:41:53.996577+00,2005-06-19 09:44:27+00,2005-06-17 12:13:27+00,BILL,GAVIN,1485 Bratislava Place,TAXI KICK,PG-13,64,English             ,"WOODYJOLIE,SPENCERDEPP,ALBERTNOLTE,MENAHOPPER,BOBFAWCETT,KENNETHPALTROW"
6.99,2020-02-17 11:42:29.996577+00,2005-06-25 09:06:03+00,2005-06-17 12:14:03+00,IVAN,CROMWELL,1351 Sousse Lane,VACATION BOONDOCK,R,145,English             ,"GRETAKEITEL,LISAMONROE,CHRISTIANGABLE,FAYKILMER,MEGHAWKE,ADAMHOPPER"
4.99,2020-02-17 11:52:33.996577+00,2005-06-18 17:18:07+00,2005-06-17 12:24:07+00,STEVEN,CURLEY,651 Pathankot Loop,BRANNIGAN SUNRISE,PG,121,English             ,"KENNETHHOFFMAN,RIPCRAWFORD"
0.99,2020-02-17 11:53:09.996577+00,2005-06-20 11:34:43+00,2005-06-17 12:24:43+00,RUBY,WASHINGTON,1952 Chatsworth Drive,ALAMO VIDEOTAPE,G,126,English             ,"MICHAELBENING,JOHNNYCAGE,SCARLETTDAMON,SEANGUINESS"
4.99,2020-02-17 11:55:42.996577+00,2005-06-22 07:53:16+00,2005-06-17 12:27:16+00,SERGIO,STANFIELD,1402 Zanzibar Boulevard,FORRESTER COMANCHEROS,NC-17,112,English             ,"REESEKILMER,KIRKJOVOVICH,SEANGUINESS"
6.99,2020-02-17 12:13:35.996577+00,2005-06-26 14:30:09+00,2005-06-17 12:45:09+00,VERONICA,STONE,369 Papeete Way,WAIT CIDER,PG-13,112,English             ,"ANGELAWITHERSPOON,KIMALLEN,JAYNENOLTE,OLYMPIAPFEIFFER,BURTTEMPLE,JULIAFAWCETT,WOODYHOFFMAN,MICHELLEMCCONAUGHEY,KEVINGARLAND"
4.99,2020-02-17 12:15:18.996577+00,2005-06-18 14:42:52+00,2005-06-17 12:46:52+00,GLEN,TALBERT,1789 Saint-Denis Parkway,AMELIE HELLFIGHTERS,R,79,English             ,"EDMANSFIELD,EWANGOODING,IANTANDY,LAURABRODY,CARMENHUNT,WALTERTORN"
0.99,2020-02-17 12:22:46.996577+00,2005-06-20 13:49:20+00,2005-06-17 12:54:20+00,THOMAS,GRIGSBY,1191 Sungai Petani Boulevard,MAUDE MOD,R,72,English             ,"OLYMPIAPFEIFFER,GROUCHODUNST,CARYMCCONAUGHEY,JAMESPITT,ROCKDUKAKIS,EDGUINESS"
0.99,2020-02-17 12:29:17.996577+00,2005-06-19 10:54:51+00,2005-06-17 13:00:51+00,HAZEL,WARREN,1587 Sullana Lane,UNBREAKABLE KARATE,G,62,English             ,"REESEKILMER,DARYLCRAWFORD,HARVEYHOPE,MICHAELBOLGER,WARRENNOLTE,GOLDIEBRODY,KIRSTENPALTROW,BURTPOSEY"
3.99,2020-02-17 12:32:09.996577+00,2005-06-24 08:21:43+00,2005-06-17 13:03:43+00,DAVID,ROYAL,827 Yuncheng Drive,FORWARD TEMPLE,NC-17,90,English             ,"SEANWILLIAMS,GREGCHAPLIN,RIPWINSLET"
2.99,2020-02-17 12:47:03.996577+00,2005-06-22 18:08:37+00,2005-06-17 13:18:37+00,CHRISTY,VARGAS,1158 Mandi Bahauddin Parkway,BALLOON HOMEWARD,NC-17,75,English             ,"RENEEBALL,MENATEMPLE,PARKERGOLDBERG,GARYPENN,RICHARDPENN,ROCKDUKAKIS"
8.99,2020-02-17 12:47:26.996577+00,2005-06-26 07:38:00+00,2005-06-17 13:19:00+00,ROGER,QUINTANILLA,381 Kabul Way,COMMAND DARLING,PG-13,120,English             ,"GRACEMOSTEL,MERYLGIBSON,BURTPOSEY,KENNETHPESCI,LIZABERGMAN,RITAREYNOLDS,GEOFFREYHESTON,EWANGOODING"
0.99,2020-02-17 12:59:28.996577+00,2005-06-18 13:43:02+00,2005-06-17 13:31:02+00,SARA,PERRY,125 Citt del Vaticano Boulevard,PIRATES ROXANNE,PG,100,English             ,HUMPHREYWILLIS
0.99,2020-02-17 12:59:38.996577+00,2005-06-19 10:04:12+00,2005-06-17 13:31:12+00,BARBARA,JONES,1566 Inegl Manor,MAGIC MALLRATS,PG,117,English             ,"ALECWAYNE,KIRSTENAKROYD,BURTPOSEY,TOMMCKELLEN"
5.99,2020-02-17 13:06:23.996577+00,2005-06-22 16:15:57+00,2005-06-17 13:37:57+00,ROBERTO,VU,1297 Alvorada Parkway,LOLA AGENT,PG,85,English             ,"LUCILLETRACY,TOMMIRANDA,SCARLETTDAMON,WOODYJOLIE,KIMALLEN,GEOFFREYHESTON"
2.99,2020-02-17 13:06:37.996577+00,2005-06-26 12:44:11+00,2005-06-17 13:38:11+00,CLARENCE,GAMEZ,767 Pyongyang Drive,CARRIE BUNCH,PG,114,English             ,"VALBOLGER,ANGELINAASTAIRE,KENNETHTORN,GRETAMALDEN,BELAWALKEN,JUDECRUISE,MENATEMPLE"
1.99,2020-02-17 13:08:16.996577+00,2005-06-24 15:02:50+00,2005-06-17 13:39:50+00,JEREMY,HURTADO,1133 Rizhao Avenue,CROOKED FROGMEN,PG-13,143,English             ,"LAURENCEBULLOCK,ALBERTJOHANSSON,JOESWANK,CATEHARRIS,CHRISTIANGABLE,WILLIAMHACKMAN"
1.99,2020-02-17 13:09:24.996577+00,2005-06-21 07:52:58+00,2005-06-17 13:40:58+00,VICKI,FIELDS,68 Molodetno Manor,LESSON CLEOPATRA,NC-17,167,English             ,"CARMENHUNT,ROCKDUKAKIS,LISAMONROE,JONCHASE,LIZABERGMAN,CUBAALLEN,WARRENNOLTE,WALTERTORN,KENNETHTORN,ANGELAHUDSON,CAMERONWRAY,BETTENICHOLSON"
5.99,2020-02-17 13:23:55.996577+00,2005-06-23 15:29:29+00,2005-06-17 13:55:29+00,ALEX,GRESHAM,251 Florencia Drive,HYSTERICAL GRAIL,PG,150,English             ,"MEGHAWKE,CHARLIZEDENCH,MINNIEZELLWEGER,BURTPOSEY,LUCILLEDEE,WALTERTORN,JULIANNEDENCH,MORGANWILLIAMS,JAYNENOLTE"
2.99,2020-02-17 13:27:02.996577+00,2005-06-22 13:53:36+00,2005-06-17 13:58:36+00,RENEE,LANE,533 al-Ayn Boulevard,DISTURBING SCARFACE,R,94,English             ,"AUDREYBAILEY,JULIANNEDENCH,KENNETHPESCI,ANGELINAASTAIRE"
2.99,2020-02-17 13:35:56.996577+00,2005-06-18 13:43:30+00,2005-06-17 14:07:30+00,NELSON,CHRISTENSON,1764 Jalib al-Shuyukh Parkway,HOMICIDE PEACH,PG-13,141,English             ,"ALBERTNOLTE,HARRISONBALE,KENNETHTORN,MAEHOFFMAN,GROUCHOSINATRA,JAYNENEESON,FRANCESDAY-LEWIS,BOBFAWCETT"
4.99,2020-02-17 13:38:42.996577+00,2005-06-19 19:45:16+00,2005-06-17 14:10:16+00,JEANETTE,GREENE,1077 San Felipe de Puerto Plata Place,LEGALLY SECRETARY,PG,113,English             ,"BELAWALKEN,CARMENHUNT,JANEJACKMAN,CAMERONSTREEP,HELENVOIGHT,UMAWOOD"
0.99,2020-02-17 13:43:09.996577+00,2005-06-21 10:08:43+00,2005-06-17 14:14:43+00,BERNICE,WILLIS,29 Pyongyang Loop,GOLDMINE TYCOON,R,153,English             ,"ALBERTNOLTE,MAEHOFFMAN,JOHNSUVARI,HUMPHREYWILLIS,GEOFFREYHESTON,DARYLCRAWFORD,SANDRAKILMER"
0.99,2020-02-17 13:48:00.996577+00,2005-06-19 09:06:34+00,2005-06-17 14:19:34+00,ROLAND,SOUTH,1993 0 Loop,VALENTINE VANISHING,PG-13,48,English             ,"EDGUINESS,BURTDUKAKIS"
2.99,2020-02-17 13:55:03.996577+00,2005-06-26 13:22:37+00,2005-06-17 14:26:37+00,DAISY,BATES,661 Chisinau Lane,GANDHI KWAI,PG-13,86,English             ,"PENELOPEPINKETT,MEGHAWKE,GINADEGENERES,DARYLCRAWFORD,ANNECRONYN,ANGELINAASTAIRE,ZEROCAGE,LUCILLETRACY"
5.99,2020-02-17 13:55:29.996577+00,2005-06-25 12:44:03+00,2005-06-17 14:27:03+00,RENE,MCALISTER,1895 Zhezqazghan Drive,FEATHERS METAL,PG-13,104,English             ,"WOODYJOLIE,SCARLETTBENING,JAYNENOLTE,NICKDEGENERES,MILLAPECK,NATALIEHOPKINS,CHRISTIANAKROYD,KENNETHPALTROW,CHARLIZEDENCH"
2.99,2020-02-17 13:55:59.996577+00,2005-06-20 12:04:33+00,2005-06-17 14:27:33+00,CAROLYN,PEREZ,1632 Bislig Avenue,BALLOON HOMEWARD,NC-17,75,English             ,"RICHARDPENN,ROCKDUKAKIS,GARYPENN,MENATEMPLE,PARKERGOLDBERG,RENEEBALL"
4.99,2020-02-17 14:00:24.996577+00,2005-06-25 08:39:58+00,2005-06-17 14:31:58+00,YOLANDA,WEAVER,605 Rio Claro Parkway,NASH CHOCOLAT,PG-13,180,English             ,"HUMPHREYGARLAND,JUDYDEAN,ANGELAHUDSON,BENWILLIS,HARRISONBALE,BENHARRIS,BELAWALKEN"
